,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
Team,Hawks,Atlanta,USA,Philips Arena,18118,https://d2p3bygnnzw9w3.cloudfront.net/req/201611171/tlogo/bbr/ATL-2017.png,Southeast,Atlanta,Georgia,,,,,,,,,,,,,,,,,,,,
Team,Celtics,Boston,USA,TD Garden,18624,https://d2p3bygnnzw9w3.cloudfront.net/req/201611171/tlogo/bbr/BOS-2017.png,Atlantic,Boston,Massachusetts,,,,,,,,,,,,,,,,,,,,
Team,Nets,Brooklyn,USA,Barclays Center,17732,https://d2p3bygnnzw9w3.cloudfront.net/req/201611171/tlogo/bbr/BRK-2017.png,Atlantic,Brooklyn,New York,,,,,,,,,,,,,,,,,,,,
Team,Hornets,Charlotte,USA,Spectrum Center,19077,https://d2p3bygnnzw9w3.cloudfront.net/req/201611171/tlogo/bbr/CHA.png,Southeast,Charlotte,North Carolina,,,,,,,,,,,,,,,,,,,,
Team,Bulls,Chicago,USA,United Center,20917,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/CHI-2017.png,Central,Chicago,Illinois,,,,,,,,,,,,,,,,,,,,
Team,Cavaliers,Cleveland,USA,Quicken Loans Arena,20562,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/CLE-2017.png,Central,Cleveland,Ohio,,,,,,,,,,,,,,,,,,,,
Team,Mavericks,Dallas,USA,American Airlines Center,19200,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/DAL-2017.png,Southwest,Dallas,Texas,,,,,,,,,,,,,,,,,,,,
Team,Nuggets,Denver,USA,Pepsi Center,19155,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/DEN-2017.png,Northwest,Denver,Colorado,,,,,,,,,,,,,,,,,,,,
Team,Pistons,Detroit,USA,The Palace of Auburn Hills,19971,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/DET-2017.png,Central,Auburn Hills,Michigan,,,,,,,,,,,,,,,,,,,,
Team,Warriors,Golden State,USA,Oracle Arena,19596,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/GSW-2017.png,Pacific,Oakland,California,,,,,,,,,,,,,,,,,,,,
Team,Rockets,Houston,USA,Toyota Center,18055,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/HOU-2017.png,Southwest,Houston,Texas,,,,,,,,,,,,,,,,,,,,
Team,Pacers,Indiana,USA,Bankers Life Fieldhouse,18165,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/IND-2017.png,Central,Indianapolis,Indiana,,,,,,,,,,,,,,,,,,,,
Team,Clippers,Los Angeles,USA,Staples Center,19060,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/LAC-2017.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,
Team,Lakers,Los Angeles,USA,Staples Center,18997,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/LAL-2017.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,
Team,Grizzlies,Memphis,USA,FedExForum,18119,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/MEM-2017.png,Southwest,Memphis,Tennessee,,,,,,,,,,,,,,,,,,,,
Team,Heat,Miami,USA,American Airlines Arena,19600,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/MIA-2017.png,Southeast,Miami,Florida,,,,,,,,,,,,,,,,,,,,
Team,Bucks,Milwaukee,USA,BMO Harris Bradley Center,18717,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/MIL-2017.png,Central,Milwaukee,Wisconsin,,,,,,,,,,,,,,,,,,,,
Team,Timberwolves,Minnesota,USA,Target Center,19356,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/MIN-2017.png,Northwest,Minneapolis,Minnesota,,,,,,,,,,,,,,,,,,,,
Team,Pelicans,New Orleans,USA,Smoothie King Center,16867,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/NOP-2017.png,Southwest,New Orleans,Louisiana,,,,,,,,,,,,,,,,,,,,
Team,Knicks,New York,USA,Madison Square Garden,19812,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/NYK-2017.png,Atlantic,New York City,New York,,,,,,,,,,,,,,,,,,,,
Team,Thunder,Oklahoma City,USA,Chesapeake Energy Arena,18203,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/OKC-2017.png,Northwest,Oklahoma City,Oklahoma,,,,,,,,,,,,,,,,,,,,
Team,Magic,Orlando,USA,Amway Center,18846,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/ORL-2017.png,Southeast,Orlando,Florida,,,,,,,,,,,,,,,,,,,,
Team,76ers,Philadelphia,USA,Wells Fargo Center,20328,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/PHI-2017.png,Atlantic,Philadelphia,Pennsylvania,,,,,,,,,,,,,,,,,,,,
Team,Suns,Phoenix,USA,Talking Stick Resort Arena,18422,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/PHO-2017.png,Pacific,Phoenix,Arizona,,,,,,,,,,,,,,,,,,,,
Team,Trail Blazers,Portland,USA,Moda Center,19980,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/POR-2017.png,Northwest,Portland,Oregon,,,,,,,,,,,,,,,,,,,,
Team,Kings,Sacramento,USA,Golden 1 Center,17500,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/SAC-2017.png,Pacific,Sacramento,California,,,,,,,,,,,,,,,,,,,,
Team,Spurs,San Antonio,USA,AT&T Center,18418,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/SAS-2017.png,Southwest,San Antonio,Texas,,,,,,,,,,,,,,,,,,,,
Team,Raptors,Toronto,Canada,Air Canada Centre,19800,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/TOR-2017.png,Atlantic,Toronto,Canada,,,,,,,,,,,,,,,,,,,,
Team,Jazz,Utah,USA,Vivint Smart Home Arena,19911,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/UTA-2017.png,Northwest,Salt Lake City,Utah,,,,,,,,,,,,,,,,,,,,
Team,Wizards,Washington,USA,Verizon Center,20000,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/WAS-2017.png,Southeast,Washington,D.C.,,,,,,,,,,,,,,,,,,,,
NewFranchiseLogo,,,,,,https://d2p3bygnnzw9w3.cloudfront.net/req/201612021/tlogo/bbr/SEA-2008.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,FirstName,Last Name,Position,Age,Height,Weight,Team ID,Defence,TurnOvers,FTA,FTPerc,2PTA,2PTPerc,3PTA,ThreePerc,OffReb,Fame,DefReb,FastBreak,Assists,Personality,Potential,Steals,Blocks,Stamina,Trait,,,
players,Kent,Bazemore,SG,29,196,201,0,76,1.8,2.6,0.726,5.8,0.465,4.5,0.32,0.6,20,3.3,60,2.3,80,73,1.3,0.6,96,,,,
players,DeAndre',Bembry,SG,24,198.12,210,0,64,1.7,1.7,0.64,5.4,0.508,2.1,0.289,0.7,16,3.7,60,2.5,70,88,0.2,0,65,,,,
players,Trae,Young,PG,20,188,180,0,60,3.8,5.1,0.829,9.6,0.477,6,0.324,1.8,60,2.9,86,8.1,70,90,0.9,0.2,80,R,,,
players,Justin,Andreson,SF,25,198,230,0,64,0.5,0.7,0.743,1.7,0.5,1.6,0.312,1.5,20,1.3,40,0.5,70,46,0.5,0.3,67,,,,
players,Kevin,Huerter,SG,24,201,190,0,67,1.5,0.7,0.732,4.1,0.419,4.7,0.385,0.8,21,2.5,74,2.9,70,82,0.9,0.3,70,R,,,
players,Alex,Len,C,25,215.9,260,0,73,1.3,2.8,0.648,5.8,0.494,2.6,0.363,2.1,16,3.5,60,1.1,70,75,0.4,0.9,95,,,,
players,John,Collins,PF,21,208,235,0,70,2,4.4,0.763,11,0.609,2.6,0.348,3.6,50,6.2,70,2,68,88,0.4,0.6,80,,,,
players,Omari,Spellman,PF,21,206,240,0,70,0.7,1,0.711,2.5,0.466,2.8,0.344,1.6,54,2.7,60,1,70,80,0.6,0.5,73,R,,,
players,Miles,Plumlee,C,30,210.82,249,0,64,0.7,1.1,0.629,3,0.667,0,0,2,17,6,28,0.5,70,70,0.3,0.3,68,,,,
players,Lamar,Patterson,SG,25,195.58,225,0,64,0.7,1,0.667,2,0.333,0.7,0.235,0.3,15,1,25,0,70,79,0.2,0.1,70,,,,
players,Vince,Carter,SG,40,198.12,220,0,73,0.6,0.9,0.712,2,0.48,4.2,0.389,0.4,88,2.1,30,1.1,90,34,0.6,0.4,67,HF,,,
players,Jaylen,Adams,PG,22,188,190,0,67,0.8,0.3,0.778,1.1,0.361,2.2,0.338,0.3,38,1.4,70,1.9,72,76,0.4,0.1,70,R,,,
players,Alex,Poythress,PF,25,206,235,0,70,0.6,1.4,0.621,2.8,0.534,1.1,0.391,1.4,15,2.2,27,0.8,75,70,0.2,0.5,40,,,,
players,Isaac,Humphries,C,20,213,255,0,47,0,0,0,2.2,0.273,2.2,0.273,0.8,18,1.4,46,0,70,58,0.2,0,49,R,,,
players,Dewayne,Dedmon,C,29,213.36,245,0,90,1.3,1.8,0.814,4.8,0.57,3.4,0.382,1.6,32,5.9,40,1.4,72,73,1.1,1.1,87,,,,
players,Taurean,Prince,SF,24,203.2,220,0,80,1.8,2.1,0.819,5.1,0.498,5.7,0.39,0.4,15,3.2,50,2.1,70,88,1,0.3,58,,,,
players,Miles,Plumlee,C,30,210.82,249,3,64,0.7,1.1,0.629,3,0.667,0,0,2,17,6,28,0.5,70,70,0.3,0.3,68,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Kyrie,Irving,PG,26,190.5,193,1,64,2.6,3.7,0.873,12,0.533,6.5,0.401,1.1,100,3.9,70,6.90,85,82,1.5,0.5,89,,,,
players,Jaylen,Brown,SG,22,200.66,225,1,76,1.3,2.7,0.658,7,0.529,3.7,0.344,0.9,27,3.4,60,1.4,70,94,0.9,0.4,98,,,,
players,Jayson,Tatum,SF,20,203.2,204,1,77,1.5,2.9,0.85,9.2,0.482,3.9,0.373,0.9,65,5.2,57,2.1,70,100,1.1,0.7,95,,,,
players,Semi,Green,SG,31,200.66,241,1,70,0.3,0.7,0.615,1.2,0.565,1.6,0.315,0.4,22,1.1,50,0.4,70,61,0.2,0.1,57,,,,
players,Al,Horford,C,32,208.28,245,1,85,1.5,1.4,0.821,7.6,0.604,3,0.36,1.8,100,5,35,4.2,80,64,0.9,1.3,74,PT,,,
players,Brad ,Wanamaker,PG,29,193,210,1,49,0.5,0.8,0.857,1.8,0.515,1.1,0.41,0.1,17,1.1,50,1.6,70,70,0.3,0.1,25,,,,
players,Marcus,Morris,PF,29,205.74,235,1,64,1.2,2.3,0.844,6.1,0.508,5.2,0.375,1,17,5.1,40,1.5,75,73,0.6,0.3,98,,,,
players,Robert,Williams,PF,21,208,240,1,70,0.3,0.5,0.6,1.6,0.706,0,0,0.8,22,1.7,60,0.2,70,80,0.3,1.3,98,R,,,
